directors.director_name
Quentin Tarantino
Sylvain White
Jorma Taccone
Miguel Sapochnik
Colin Strause
Greg Strause
John Luessenhop
Miguel Arteta
Sarah Smith
John Putch
Hiromasa Yonebayashi
Brian Robbins
Franck Khalfoun
Zal Batmanglij
Jamie Travis
Megan Griffiths
Kern Saxton
Kaare Andrews
Angela Bettis
Hélène Cattet
Ernesto Díaz Espinoza
Jason Eisener
Bruno Forzani
Adrián García Bogliano
Jorge Michel Grau
Lee Hardcastle
Noboru Iguchi
Thomas Cappelen Malling
Anders Morgenthaler
Yoshihiro Nishimura
Banjong Pisanthanakun
Simon Rumley
Marcel Sarmiento
Jon Schnepp
Srdjan Spasojevic
Timo Tjahjanto
Andrew Traucki
Nacho Vigalondo
Jake West
Adam Wingard
Yudai Yamaguchi
Amy Heckerling
Enrique Gato
Yaron Zilberman
Hadi Hajaig
Nicholas McCarthy
John Poliquin
Julia Leigh
Michael Brandt
David Mackenzie
John Wells
Géla Babluani
Abe Sylvia
Mike Mills
Adam Elliot
Atom Egoyan
Armando Iannucci
Tom Six
David Hollander
Sean Ellis
Mike Barker
Barnaby Thompson
Ryan Fleck
Damien O'Donnell
Steven Shainberg
Robert Stromberg
Wolfgang Reitherman
Sidney Lumet
Woody Allen
Lewis Gilbert
Ted Kotcheff
Patricia Birch
Paul Brickman
George P. Cosmatos
Paul Michael Glaser
Rowdy Herrington
Herbert Ross
Ron Underwood
Marco Brambilla
Anthony Minghella
Jim Gillespie
John Dahl
Vincent Ward
Michael Cristofer
Joel Zwick
Ron Clements
John Musker
Bo Welch
John Hamburg
Andy Cadiff
David R. Ellis
Takashi Shimizu
Jay Russell
Rob Bowman
Nigel Cole
Cory Edwards
Todd Edwards
Tony Leech
Darren Lynn Bousman
David Bowers
John Bonito
Gil Kenan
Josh Gordon
Will Speck
Garry Marshall
Mike Binder
Michael Davis
Chris Buck
Philip G. Atwell
Uwe Boll
Paul Weiland
Phil Traill
P.J. Hogan
Brandon Camp
Nanette Burstein
Daniel Stamm
Anand Tucker
Tod Williams
Vincenzo Natali
Jason Winer
Tom Hanks
Thomas Bezucha
Christian E. Christiansen
Alister Grierson
Gonzalo López-Gallego
Charles Martin Smith
Akiva Goldsman
Roberts Gannaway
Peggy Holmes
Richard Bates Jr.
Ryan Little
Nir Paniry
Matthias Hoene
John Hyams
Conor McMahon
Stephen Elliott
Jennifer Chambers Lynch
Ramaa Mosley
Sally Potter
Crispian Mills
Chris Hopewell
Jamie Bradshaw
Aleksandr Dulerayn
Jean-Jacques Annaud
Joe Cornish
Jodie Foster
John Michael McDonagh
Paul Johansson
Dito Montiel
Jonathan English
Julio Medem
Spencer Susser
Bart Freundlich
Glenn Ficarra
John Requa
Wayne Kramer
Tom Ford
Sean Byrne
Gerard Johnson
Frank Oz
Clement Virgo
Nick Moore
Michael Haneke
Shane Meadows
John Carney
Alejandro González Iñárritu
Adrian Lyne
Randal Kleiser
Ted Berman
Richard Rich
Art Stevens
George Roy Hill
John Lounsbery
John Huston
Sydney Pollack
Bob Clark
Joel Silberg
Jeff Kanew
Alan Parker
John Glen
Stephen Herek
Mario Van Peebles
Jim Abrahams
Ron Shelton
Kenny Ortega
Daniel Stern
Steve Oedekerk
Chris Noonan
Danny Cannon
Nick Castle
Paris Barclay
Billy Bob Thornton
Gary Fleder
Harry Elfont
Deborah Kaplan
Michael Crichton
Peter Chelsom
Simon Wells
Ronny Yu
Tim McCanlies
Audrey Wells
Sara Sugarman
Stephen Chow
Fernando Meirelles
Andrzej Bartkowiak
John Whitesell
Donald Petrie
Alejandro Agresti
Kirk Jones
Jill Culton
Anthony Stacchi
Liam Lynch
Craig Brewer
Neil Jordan
Joe Nussbaum
James Gray
Walt Becker
Kent Alterman
John Patrick Shanley
David Hackl
Sanaa Hamri
Jeffrey Nachmanoff
Will Gluck
Neal Brennan
Jorge Blanco
Javier Abad
Marcos Martínez
Drew Barrymore
Shana Feste
Kevin Greutert
Troy Nixey
Dave Grohl
Ciarán Foy
Scott Wheeler
Craig Moss
Jessy Terrero
